"","country","continent","year","lifeExp","pop","gdpPercap","gdpTotal"
"55","Hong Kong, China","Asia",1997,80,6495918,28377.63219,184338771740.4
"56","Hungary","Europe",1997,71.04,10244684,11712.7768,119993697078.531
"57","Iceland","Europe",1997,78.95,271192,28061.09966,7609945738.99472
"58","India","Asia",1997,61.765,959000000,1458.817442,1399005926878
"59","Indonesia","Asia",1997,66.041,199278000,3119.335603,621614960294.634
"60","Iran","Asia",1997,68.042,63327987,8263.590301,523316539155.054
"61","Iraq","Asia",1997,58.811,20775703,3076.239795,63911044337.7009
"62","Ireland","Europe",1997,76.122,3667233,24521.94713,89927693739.3913
"63","Israel","Asia",1997,78.269,5531387,20896.60924,115587232694.216
"64","Italy","Europe",1997,78.82,57479469,24675.02446,1418307303522.81
"65","Jamaica","Americas",1997,72.262,2531311,7121.924704,18027806344.4069
"66","Japan","Asia",1997,80.69,125956499,28816.58499,3629636158476.35
"67","Jordan","Asia",1997,69.772,4526235,3645.379572,16499844607.0714
"68","Kenya","Africa",1997,54.407,28263827,1360.485021,38452513269.6354
"69","Korea, Dem. Rep.","Asia",1997,67.727,21585105,1690.756814,36495163359.6555
"70","Korea, Rep.","Asia",1997,74.647,46173816,15993.52796,738482217215.895
"71","Kuwait","Asia",1997,76.156,1765345,40300.61996,71144497943.2862
"72","Lebanon","Asia",1997,70.265,3430388,8754.96385,30032922931.4738
"73","Lesotho","Africa",1997,55.558,1982823,1186.147994,2351921523.90706
"74","Liberia","Africa",1997,42.221,2200725,609.1739508,1340624342.87433
"75","Libya","Africa",1997,71.555,4759670,9467.446056,45061918969.3615
"76","Madagascar","Africa",1997,54.978,14165114,986.2958956,13970993798.9061
"77","Malawi","Africa",1997,47.495,10419991,692.2758103,7213507712.84371
"78","Malaysia","Asia",1997,71.938,20476091,10132.90964,207482379883.417
"79","Mali","Africa",1997,49.903,9384984,790.2579846,7416558541.34325
"80","Mauritania","Africa",1997,60.43,2444741,1483.136136,3625883720.26078
"81","Mauritius","Africa",1997,70.736,1149818,7425.705295,8538209610.88631
"82","Mexico","Americas",1997,73.67,95895146,9767.29753,936636422664.789
"83","Mongolia","Asia",1997,63.625,2494803,1902.2521,4745744245.8363
"84","Montenegro","Europe",1997,75.445,692651,6465.613349,4478413551.7982
"85","Morocco","Africa",1997,67.66,28529501,2982.101858,85077877939.9129
"86","Mozambique","Africa",1997,46.344,16603334,472.3460771,7842519681.68105
"87","Myanmar","Asia",1997,60.328,43247867,415,17947864805
"88","Namibia","Africa",1997,58.909,1774766,3899.52426,6920743072.82316
"89","Nepal","Asia",1997,59.426,23001113,1010.892138,23251644296.9496
"90","Netherlands","Europe",1997,78.03,15604464,30246.13063,471974656555.132
"91","Nicaragua","Americas",1997,68.426,4609572,2253.023004,10385471754.5943
"92","Niger","Africa",1997,51.313,9666252,580.3052092,5609376389.03992
"93","Nigeria","Africa",1997,47.464,106207839,1624.941275,172581501319.655
"94","Norway","Europe",1997,78.32,4405672,41283.16433,181880081160.08
"95","Oman","Asia",1997,72.499,2283635,19702.05581,44992304219.6694
"96","Pakistan","Asia",1997,61.818,135564834,2049.350521,277819863187.178
"97","Panama","Americas",1997,73.738,2734531,7113.692252,19452611987.5538
"98","Paraguay","Americas",1997,69.4,5154123,4247.400261,21891623375.4261
"99","Peru","Americas",1997,68.386,24748122,5838.347657,144488140093.85
"100","Philippines","Asia",1997,68.564,75012988,2536.534925,190273063890.606
"101","Poland","Europe",1997,72.75,38654957,10159.58368,392718270288.302
"102","Portugal","Europe",1997,75.97,10156415,17641.03156,179169637551.457
"103","Puerto Rico","Americas",1997,74.917,3759430,16999.4333,63908179531.019
"104","Reunion","Africa",1997,74.772,684810,6071.941411,4158126197.66691
"105","Romania","Europe",1997,69.72,22562458,7346.547557,165756170699.815
"106","Rwanda","Africa",1997,36.087,7212583,589.9445051,4255023708.42767
"107","Sao Tome and Principe","Africa",1997,63.306,145608,1339.076036,194980183.449888
"108","Saudi Arabia","Asia",1997,70.533,21229759,20586.69019,437050471341.364
"109","Senegal","Africa",1997,60.187,9535314,1392.368347,13276669392.306
"110","Serbia","Europe",1997,72.232,10336594,7914.320304,81807115768.4046
"111","Sierra Leone","Africa",1997,39.897,4578212,574.6481576,2630861090.90221
"112","Singapore","Asia",1997,77.158,3802309,33519.4766,127451407551.469
"113","Slovak Republic","Europe",1997,72.71,5383010,12126.23065,65275620851.2565
"114","Slovenia","Europe",1997,75.13,2011612,17161.10735,34521489478.5482
"115","Somalia","Africa",1997,43.795,6633514,930.5964284,6173124436.1414
"116","South Africa","Africa",1997,60.236,42835005,7479.188244,320371065827.681
"117","Spain","Europe",1997,78.77,39855442,20445.29896,814856426872.94
"118","Sri Lanka","Asia",1997,70.457,18698655,2664.477257,49822140983.9893
"119","Sudan","Africa",1997,55.373,32160729,1632.210764,52493088051.887
"120","Swaziland","Africa",1997,54.289,1054486,3876.76846,4087998066.31156
"121","Sweden","Europe",1997,79.39,8897619,25266.59499,224812535648.329
"122","Switzerland","Europe",1997,79.37,7193761,32135.32301,231173833391.741
"123","Syria","Asia",1997,71.527,15081016,4014.238972,60538802164.5556
"124","Taiwan","Asia",1997,75.25,21628605,20206.82098,437045349282.133
"125","Tanzania","Africa",1997,48.466,30686889,789.1862231,24217670028.5989
"126","Thailand","Asia",1997,67.521,60216677,5852.625497,352425659154.813
"127","Togo","Africa",1997,58.39,4320890,982.2869243,4244353748.33863
"128","Trinidad and Tobago","Americas",1997,69.465,1138101,8792.573126,10006836267.2737
"129","Tunisia","Africa",1997,71.973,9231669,4876.798614,45020990584.1068
"130","Turkey","Europe",1997,68.835,63047647,6601.429915,416204622976.16
"131","Uganda","Africa",1997,44.578,21210254,816.559081,17319425514.0166
"132","United Kingdom","Europe",1997,77.218,58808266,26074.53136,1533397976044.22
"133","United States","Americas",1997,76.81,272911760,35767.43303,9761353098899.43
"134","Uruguay","Americas",1997,74.223,3262838,9230.240708,30116780131.2093
"135","Venezuela","Americas",1997,72.146,22374398,10165.49518,227446835024.402
"136","Vietnam","Asia",1997,70.672,76048996,1385.896769,105396057842.094
"137","West Bank and Gaza","Asia",1997,71.096,2826046,7110.667619,20095073782.0045
"138","Yemen, Rep.","Asia",1997,58.02,15826497,2117.484526,33512362498.2854
"139","Zambia","Africa",1997,40.238,9417789,1071.353818,10089784202.2684
"140","Zimbabwe","Africa",1997,46.809,11404948,792.4499603,9037850589.82356
